RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
907,7409588004,63,Female,Unknown,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,25.000€ to 29.999€ per year,Foggia,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.966666667
908,7409399874,31,Male,Unknown,Basketball is one of my top sports,Yes,Yes,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,35.000€ to 39.999€ per year,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Inter Milan Fan,18-34,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
909,7410004214,56,Male,North west,"I follow basketball regularly, but it's secondary",Yes,Yes,Yes,No,No,No,Somewhat likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,25.000€ to 29.999€ per year,Milano,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Other Serie A Fan,55+,"25-49,999€",Milan,Overall Interested,Watcher,1.004081633
910,7409207936,69,Male,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,Slightly increase my interest,Other/not sure,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Prefer not to answer,Modena,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Inter Milan Fan,55+, ,Rest of Italy,Unaware, ,1.023529412
911,7409587998,54,Male,Unknown,"I follow basketball regularly, but it's secondary",No,Yes,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Moderately increase my interest, ,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Prefer not to answer,Bologna,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Inter Milan Fan,35-54, ,Rest of Italy,Overall Interested,Watcher,1.023529412
912,7409586336,44,Male,Unknown,Basketball is one of my top sports,Yes,No,No,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,Yes,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,under 5.000€ per year,Unknown,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,Yes,No,No,No,No,No,No,No,No,AC Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
913,7409474052,71,Male,South,I watch basketball occasionally,No,No,No,No,No,Yes,Neither likely nor unlikely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Matera,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,No,No,No,No,No,No,No,Yes,No,AC Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Non Watcher,1.056101695
914,7410023500,31,Male,North west,"I follow basketball regularly, but it's secondary",Yes,Yes,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Significantly increase my interest, ,Yes,Yes,Yes,No,Yes,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,AC Milan Fan,18-34,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
915,7409444448,24,Male,North west,"I follow basketball regularly, but it's secondary",Yes,Yes,No,Yes,No,No,Very likely,Somewhat likely,I support a different football club and therefore would be less interested,Moderately increase my interest, ,Yes,Yes,No,No,Yes,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,25.000€ to 29.999€ per year,Pavia,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Inter Milan Fan,18-34,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
916,7409399866,71,Male,Unknown,I watch basketball occasionally,Yes,No,Yes,No,No,No,Neither likely nor unlikely,Very unlikely,I prefer a team that represents Milan as a city rather than one football club,Decrease my interest, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,55+, ,Rest of Italy,Overall Interested,Watcher,1.023529412
917,7409590680,34,Male,South,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,Decrease my interest, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,150.000€ and over,Brindisi,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,No,No,No,No,Yes,No,No,No,No,No,No,No,Inter Milan Fan,18-34,"50,000€ +",Rest of Italy,Unaware, ,1.023529412
918,7405671758,38,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,Yes,No,Buy merchandise,Because it is Italy's team in the league,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,70.000€ to 99.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"50,000€ +",Milan,Unaware, ,0.993939394
919,7409438492,66,Male,Islands,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,under 5.000€ per year,Palermo,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Inter Milan Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,1.023529412
920,7409350018,36,Male,Islands,"I follow basketball regularly, but it's secondary",No,Yes,No,No,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Trapani,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,No,No,No,Yes,No,No,No,No,No,Inter Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
921,7409513442,76,Female,South,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,35.000€ to 39.999€ per year,Pescara,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,AC Milan Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,0.920240964
922,7409787460,70,Female,Unknown,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,Slightly increase my interest,Because it feels culturally relevant to Milan,No,No,No,No,No,Yes, ,"Because it represents Milan, regardless of club",No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,25.000€ to 29.999€ per year,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,0.966666667
923,7409302702,42,Male,North east,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Prefer not to answer,Verona,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,35-54, ,Rest of Italy,Unaware, ,1.023529412
924,7409588616,50,Male,North west,I watch basketball occasionally,No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest,Because it feels culturally relevant to Milan,Yes,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,25.000€ to 29.999€ per year,Torino,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,AC Milan Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
925,7409679502,75,Male,South,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,50.000€ to 59.999€ per year,Bari,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Inter Milan Fan,55+,"50,000€ +",Rest of Italy,Unaware, ,1.023529412
926,7409733276,80,Male,Centre,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Very likely,Neither likely nor unlikely,I don't like football branding in basketball,No change, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,35.000€ to 39.999€ per year,Roma,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,No,No,No,No,No,No,Yes,No,No,No,Inter Milan Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
927,7406250992,35,Male,North east,I watch basketball occasionally,No,Yes,No,No,No,No,Somewhat likely,Somewhat likely, ,Slightly increase my interest,Because it gives me a reason to care about basketball,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,15.000€ to 19.999€ per year,Piacenza,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,No,Yes,No,No,No,No,No,No,AC Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
928,7409548594,69,Male,North west,I watch basketball occasionally,Yes,No,Yes,No,No,No,Very likely,Somewhat likely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,10.000€ to 14.999€ per year,Monza e Brianza,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
929,7409401726,36,Female,North east,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,40.000€ to 44.999€ per year,Bologna,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,35-54,"25-49,999€",Rest of Italy,Unaware, ,0.966666667
930,7409481714,67,Male,South,Basketball is one of my top sports,Yes,Yes,Yes,Yes,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Slightly increase my interest, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,60.000€ to 69.999€ per year,Bari,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,Yes,No,No,No,Inter Milan Fan,55+,"50,000€ +",Rest of Italy,Overall Interested,Watcher,1.023529412
931,7409253576,54,Female,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat unlikely,Very likely, ,Moderately increase my interest,Because it gives me a reason to care about basketball,No,Yes,No,Yes,No,No,Watch games via paid TV or streaming service,"Because it represents Milan, regardless of club",Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Prefer not to answer,Monza e Brianza,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,AC Milan Fan,35-54, ,Rest of Italy,Overall Interested,Watcher,0.920240964
932,7409399878,30,Female,Unknown,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Don't know,Campobasso,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,No,No,No,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,18-34, ,Rest of Italy,Unaware, ,0.966666667
933,7409441416,35,Male,South,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Neither likely nor unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,35.000€ to 39.999€ per year,L'Aquila,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel negatively towards AC Milan,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Inter Milan Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
934,7409144330,71,Male,Unknown,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Unknown,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,No,No,No,No,No,No,No,No,AC Milan Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,1.056101695
935,7410061392,37,Female,North west,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Neither likely nor unlikely, ,Slightly increase my interest,Because I trust and follow AC Milan,No,No,Yes,No,No,No,Follow highlights and social media,Because it is affiliated with AC Milan,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,5.000€ to 9.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,AC Milan Fan,35-54,"0-24,999€",Milan,Unaware, ,0.920240964
936,7409525002,43,Female,North west,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,Yes,No,No,No,No,Watch games via paid TV or streaming service,I would not support a Milan NBA team,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,25.000€ to 29.999€ per year,Varese,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,AC Milan Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.920240964
937,7409786002,45,Male,North east,Basketball is one of my top sports,Yes,No,No,No,No,No,Somewhat unlikely,Somewhat likely, ,Moderately increase my interest, ,Yes,Yes,Yes,No,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,25.000€ to 29.999€ per year,Modena,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,AC Milan Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.056101695
938,7397052652,48,Female,South,"I follow basketball regularly, but it's secondary",Yes,Yes,Yes,No,No,No,Somewhat unlikely,Very likely, ,Significantly increase my interest, ,Yes,Yes,No,Yes,Yes,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,30.000€ to 34.999€ per year,Salerno,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,AC Milan Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,0.920240964
939,7408717642,49,Male,North west,I watch basketball occasionally,Yes,No,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,100.000€ to 149.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.011180124
940,7409995258,34,Male,Islands,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Neither likely nor unlikely, ,Moderately increase my interest,Because I trust and follow AC Milan,Yes,No,Yes,No,No,No,Follow highlights and social media,Because it is affiliated with AC Milan,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,10.000€ to 14.999€ per year,Catania,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"I consider myself an AC Milan supporter, but not a hardcore one",No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,AC Milan Fan,18-34,"0-24,999€",Rest of Italy,Unaware, ,1.056101695
